name,mass,radius,habital_zone_distance
Kepler-312 b,2.04,1.29,-2.48
Kepler-173 b,2.04,1.29,-2.41
Kepler-393 b,2.04,1.29,-2.4
Kepler-211 c,2.04,1.29,-2.23
Kepler-80 f,2.1,1.3,-2.27
Kepler-51 b,2.1,7.09,-1.94
Kepler-367 b,2.1,1.3,-1.59
Kepler-374 d,2.17,1.31,-2.38
Kepler-90 b,2.17,1.31,-2.38
Kepler-62 b,2.17,1.31,-2.15
Kepler-354 c,2.17,1.31,-1.89
Kepler-157 b,2.23,1.32,-2.42
Kepler-299 b,2.23,1.32,-2.38
Kepler-382 b,2.23,1.32,-2.34
Kepler-292 b,2.23,1.32,-2.33
Kepler-383 b,2.23,1.32,-1.98
Kepler-333 b,2.23,1.32,-1.81
Kepler-395 c,2.23,1.32,-1.35
Kepler-144 b,2.3,1.33,-2.41
Kepler-101 c,2.3,1.33,-2.37
Kepler-393 c,2.3,1.33,-2.36
Kepler-348 c,2.3,1.33,-2.34
Kepler-251 b,2.3,1.33,-2.32
Kepler-286 d,2.3,1.33,-2.31
Kepler-186 e,2.3,1.33,-1.47
Kepler-220 e,2.3,1.33,-1.44
KOI-82 c,2.34,1.34,-2.08
Kepler-301 b,2.37,1.34,-2.4
Kepler-144 c,2.37,1.34,-2.37
Kepler-301 c,2.37,1.34,-2.35
Kepler-285 b,2.37,1.34,-2.34
Kepler-191 b,2.37,1.34,-2.18
Kepler-330 b,2.37,1.34,-2.16
Kepler-186 c,2.37,1.34,-1.9
HD 20794 c,2.42,1.35,-1.97
Kepler-372 b,2.44,1.36,-2.45
Kepler-373 b,2.44,1.36,-2.34
Kepler-262 b,2.44,1.36,-2.25
Kepler-295 d,2.44,1.36,-2.02
Kepler-286 c,2.51,1.37,-2.35
Kepler-320 c,2.51,1.37,-2.33
Kepler-307 b,2.51,3.2,-2.26
Kepler-240 b,2.51,1.37,-2.23
Kepler-167 c,2.51,1.37,-2.12
Kepler-84 d,2.58,1.38,-2.41
Kepler-402 d,2.58,1.38,-2.39
Kepler-353 c,2.58,1.38,-1.82
Kepler-208 c,2.65,1.39,-2.4
Kepler-377 b,2.65,1.39,-2.33
Kepler-224 b,2.65,1.39,-2.26
Kepler-386 b,2.65,1.39,-2.12
HD 20794 b,2.7,1.4,-2.16
GJ 667C f,2.7,1.4,-0.23
GJ 667C e,2.7,1.4,0.5
Kepler-127 b,2.73,1.4,-2.35
Kepler-326 c,2.73,1.4,-2.25
Kepler-80 d,2.73,1.4,-2.19
Kepler-329 b,2.73,1.4,-1.95
HD 215152 b,2.77,1.41,-2.18
Kepler-187 b,2.81,1.41,-2.43
Kepler-164 b,2.81,1.41,-2.39
Kepler-237 b,2.81,1.41,-2.2
Kepler-334 d,2.81,1.41,-2.18
Kepler-141 c,2.81,1.41,-2.17
Kepler-369 c,2.81,1.41,-1.44
Kepler-62 f,2.81,1.41,0.46
Kepler-65 b,2.89,1.42,-2.48
Kepler-339 b,2.89,1.42,-2.32
Kepler-11 c,2.9,2.87,-2.27
Kepler-323 b,2.97,1.43,-2.46
Kepler-272 b,2.97,1.43,-2.33
Kepler-203 d,2.97,1.43,-2.31
Kepler-334 c,2.97,1.43,-2.29
Kepler-176 b,2.97,1.43,-2.27
Kepler-311 c,2.97,1.43,-2.26
Kepler-176 d,2.97,2.51,-2
Kepler-399 c,2.97,1.43,-1.97
Kepler-239 c,2.97,2.51,-1.51
Kepler-309 c,2.97,2.51,-0.9
Kepler-361 c,3.02,2.52,-2.12
Kepler-361 b,3.05,1.44,-2.41
Kepler-280 b,3.05,1.44,-2.4
Kepler-375 b,3.05,1.44,-2.25
Kepler-167 b,3.05,1.44,-2.19
Kepler-362 c,3.05,1.44,-1.91
Kepler-340 b,3.06,2.53,-2.45
Kepler-313 b,3.06,2.53,-2.31
Kepler-204 b,3.06,2.53,-2.3
Kepler-153 c,3.06,2.53,-1.86
HD 215152 c,3.08,1.45,-2.11
Kepler-325 c,3.1,2.54,-2.27
Kepler-268 b,3.1,2.54,-2.25
Kepler-156 c,3.1,2.54,-2.06
Kepler-81 b,3.1,2.54,-2.04
Kepler-129 c,3.1,2.54,-2
Kepler-366 b,3.14,1.46,-2.45
Kepler-168 b,3.14,1.46,-2.44
Kepler-402 e,3.14,1.46,-2.36
