DATE,DEXUSUK
2014-01-01,1.6503000000000000
2014-01-08,1.6431800000000000
2014-01-15,1.6426600000000000
2014-01-22,1.6451000000000000
2014-01-29,1.6566600000000000
2014-02-05,1.6370400000000000
2014-02-12,1.6441000000000000
2014-02-19,1.6698250000000000
2014-02-26,1.6651000000000000
2014-03-05,1.6709800000000000
2014-03-12,1.6666800000000000
2014-03-19,1.6631000000000000
2014-03-26,1.6514600000000000
2014-04-02,1.6642400000000000
2014-04-09,1.6657400000000000
2014-04-16,1.6755400000000000
2014-04-23,1.6798800000000000
2014-04-30,1.6826200000000000
2014-05-07,1.6915000000000000
2014-05-14,1.6857200000000000
2014-05-21,1.6831200000000000
2014-05-28,1.6797500000000000
2014-06-04,1.6747800000000000
2014-06-11,1.6787200000000000
2014-06-18,1.6942000000000000
2014-06-25,1.7005400000000000
2014-07-02,1.7090200000000000
2014-07-09,1.7134250000000000
2014-07-16,1.7117800000000000
2014-07-23,1.7066800000000000
2014-07-30,1.6957200000000000
2014-08-06,1.6853800000000000
2014-08-13,1.6783200000000000
2014-08-20,1.6670600000000000
2014-08-27,1.6578200000000000
2014-09-03,1.6529250000000000
2014-09-10,1.6204800000000000
2014-09-17,1.6266000000000000
2014-09-24,1.6348000000000000
2014-10-01,1.6253000000000000
2014-10-08,1.6054200000000000
2014-10-15,1.6015250000000000
2014-10-22,1.6098400000000000
2014-10-29,1.6114800000000000
2014-11-05,1.5996600000000000
2014-11-12,1.5844500000000000
2014-11-19,1.5667400000000000
2014-11-26,1.5711400000000000
2014-12-03,1.5683000000000000
2014-12-10,1.5663000000000000
2014-12-17,1.5698200000000000
2014-12-24,1.5591000000000000
2014-12-31,1.5558333333333333
2015-01-07,1.5210500000000000
2015-01-14,1.5167400000000000
2015-01-21,1.5143250000000000
2015-01-28,1.5104600000000000
2015-02-04,1.5086800000000000
2015-02-11,1.5248200000000000
2015-02-18,1.5388250000000000
2015-02-25,1.5446800000000000
2015-03-04,1.5378200000000000
2015-03-11,1.5084000000000000
2015-03-18,1.4778400000000000
2015-03-25,1.4874600000000000
2015-04-01,1.4837400000000000
2015-04-08,1.4899600000000000
2015-04-15,1.4723400000000000
2015-04-22,1.4949800000000000
2015-04-29,1.5254200000000000
2015-05-06,1.5201000000000000
2015-05-13,1.5540800000000000
2015-05-20,1.5656800000000000
2015-05-27,1.5469500000000000
2015-06-03,1.5289200000000000
2015-06-10,1.5365400000000000
2015-06-17,1.5599400000000000
2015-06-24,1.5803600000000000
2015-07-01,1.5715000000000000
2015-07-08,1.5507250000000000
2015-07-15,1.5520200000000000
2015-07-22,1.5595800000000000
2015-07-29,1.5576600000000000
2015-08-05,1.5606800000000000
2015-08-12,1.5549000000000000
2015-08-19,1.5624200000000000
2015-08-26,1.5661600000000000
2015-09-02,1.5357400000000000
2015-09-09,1.5298250000000000
2015-09-16,1.5431400000000000
2015-09-23,1.5437400000000000
2015-09-30,1.5183600000000000
2015-10-07,1.5217000000000000
2015-10-14,1.5329500000000000
2015-10-21,1.5464000000000000
2015-10-28,1.5346200000000000
2015-11-04,1.5390000000000000
2015-11-11,1.5135250000000000
2015-11-18,1.5208400000000000
2015-11-25,1.5163400000000000
2015-12-02,1.5021250000000000
2015-12-09,1.5086400000000000
2015-12-16,1.5115200000000000
2015-12-23,1.4874000000000000
2015-12-30,1.4863000000000000
2016-01-06,1.4680500000000000
2016-01-13,1.4507800000000000
2016-01-20,1.4259000000000000
2016-01-27,1.4270800000000000
2016-02-03,1.4375400000000000
2016-02-10,1.4481800000000000
2016-02-17,1.4378750000000000
2016-02-24,1.4161000000000000
2016-03-02,1.3947400000000000
2016-03-09,1.4219000000000000
2016-03-16,1.4264400000000000
2016-03-23,1.4346800000000000
2016-03-30,1.4239000000000000
2016-04-06,1.4235000000000000
2016-04-13,1.4178800000000000
2016-04-20,1.4282400000000000
2016-04-27,1.4477000000000000
2016-05-04,1.4578000000000000
2016-05-11,1.4453600000000000
2016-05-18,1.4466400000000000
2016-05-25,1.4576400000000000
2016-06-01,1.4560500000000000
2016-06-08,1.4500000000000000
2016-06-15,1.4269400000000000
2016-06-22,1.4479600000000000
2016-06-29,1.3692000000000000
2016-07-06,1.3116250000000000
2016-07-13,1.3053400000000000
2016-07-20,1.3221400000000000
2016-07-27,1.3132800000000000
2016-08-03,1.3258200000000000
2016-08-10,1.3052400000000000
2016-08-17,1.2959800000000000
2016-08-24,1.3151200000000000
2016-08-31,1.3129400000000000
2016-09-07,1.3335000000000000
2016-09-14,1.3251800000000000
2016-09-21,1.3061600000000000
2016-09-28,1.3006000000000000
2016-10-05,1.2867400000000000
2016-10-12,1.23735000000000000000
2016-10-19,1.2233000000000000
2016-10-26,1.2213600000000000
2016-11-02,1.2214600000000000
2016-11-09,1.2449800000000000
2016-11-16,1.24660000000000000000
2016-11-23,1.2426600000000000
2016-11-30,1.24647500000000000000
2016-12-07,1.2659800000000000
2016-12-14,1.2646400000000000
2016-12-21,1.2398400000000000
2016-12-28,1.22590000000000000000
2017-01-04,1.22822500000000000000
2017-01-11,1.2235800000000000
2017-01-18,1.22765000000000000000
2017-01-25,1.24887500000000000000
2017-02-01,1.2563200000000000
2017-02-08,1.2504800000000000
2017-02-15,1.2491600000000000
2017-02-22,1.24565000000000000000
2017-03-01,1.2453000000000000
2017-03-08,1.2224000000000000
2017-03-15,1.2189600000000000
2017-03-22,1.2412400000000000
2017-03-29,1.2502800000000000
2017-04-05,1.2486000000000000
2017-04-12,1.2457200000000000
2017-04-19,1.2639600000000000
