DATE,DEXUSEU
2014-01-01,1.3762750000000000
2014-01-08,1.3623200000000000
2014-01-15,1.3637600000000000
2014-01-22,1.3565000000000000
2014-01-29,1.3672800000000000
2014-02-05,1.3519600000000000
2014-02-12,1.3621600000000000
2014-02-19,1.3719750000000000
2014-02-26,1.3714600000000000
2014-03-05,1.3751600000000000
2014-03-12,1.3873400000000000
2014-03-19,1.3920200000000000
2014-03-26,1.3782800000000000
2014-04-02,1.3769400000000000
2014-04-09,1.3755000000000000
2014-04-16,1.3848000000000000
2014-04-23,1.3811200000000000
2014-04-30,1.3837600000000000
2014-05-07,1.3891200000000000
2014-05-14,1.3763200000000000
2014-05-21,1.3699000000000000
2014-05-28,1.3623500000000000
2014-06-04,1.3619400000000000
2014-06-11,1.3584200000000000
2014-06-18,1.3553200000000000
2014-06-25,1.3605000000000000
2014-07-02,1.3653600000000000
2014-07-09,1.3614500000000000
2014-07-16,1.3584200000000000
2014-07-23,1.3500200000000000
2014-07-30,1.3425400000000000
2014-08-06,1.3392200000000000
2014-08-13,1.3376600000000000
2014-08-20,1.3346000000000000
2014-08-27,1.3221600000000000
2014-09-03,1.3147000000000000
2014-09-10,1.2929400000000000
2014-09-17,1.2955200000000000
2014-09-24,1.2844600000000000
2014-10-01,1.2676600000000000
2014-10-08,1.2617600000000000
2014-10-15,1.2689250000000000
2014-10-22,1.2746400000000000
2014-10-29,1.2710800000000000
2014-11-05,1.2536200000000000
2014-11-12,1.24292500000000000000
2014-11-19,1.2499800000000000
2014-11-26,1.2464400000000000
2014-12-03,1.24055000000000000000
2014-12-10,1.2373600000000000
2014-12-17,1.2452200000000000
2014-12-24,1.2229200000000000
2014-12-31,1.21513333333333333333
2015-01-07,1.19222500000000000000
2015-01-14,1.18116000000000000000
2015-01-21,1.15645000000000000000
2015-01-28,1.13390000000000000000
2015-02-04,1.13630000000000000000
2015-02-11,1.13388000000000000000
2015-02-18,1.13887500000000000000
2015-02-25,1.13560000000000000000
2015-03-04,1.11762000000000000000
2015-03-11,1.07980000000000000000
2015-03-18,1.05924000000000000000
2015-03-25,1.08470000000000000000
2015-04-01,1.08274000000000000000
2015-04-08,1.09080000000000000000
2015-04-15,1.06238000000000000000
2015-04-22,1.07544000000000000000
2015-04-29,1.09448000000000000000
2015-05-06,1.12040000000000000000
2015-05-13,1.12556000000000000000
2015-05-20,1.12760000000000000000
2015-05-27,1.09807500000000000000
2015-06-03,1.10472000000000000000
2015-06-10,1.12404000000000000000
2015-06-17,1.12524000000000000000
2015-06-24,1.12970000000000000000
2015-07-01,1.11540000000000000000
2015-07-08,1.10475000000000000000
2015-07-15,1.10350000000000000000
2015-07-22,1.08814000000000000000
2015-07-29,1.10290000000000000000
2015-08-05,1.09450000000000000000
2015-08-12,1.10228000000000000000
2015-08-19,1.10842000000000000000
2015-08-26,1.13872000000000000000
2015-09-02,1.12220000000000000000
2015-09-09,1.11420000000000000000
2015-09-16,1.12942000000000000000
2015-09-23,1.12334000000000000000
2015-09-30,1.12176000000000000000
2015-10-07,1.12382000000000000000
2015-10-14,1.13660000000000000000
2015-10-21,1.13604000000000000000
2015-10-28,1.10650000000000000000
2015-11-04,1.09676000000000000000
2015-11-11,1.07670000000000000000
2015-11-18,1.06940000000000000000
2015-11-25,1.06552000000000000000
2015-12-02,1.05877500000000000000
2015-12-09,1.08972000000000000000
2015-12-16,1.09646000000000000000
2015-12-23,1.08848000000000000000
2015-12-30,1.09415000000000000000
2016-01-06,1.07917500000000000000
2016-01-13,1.08644000000000000000
2016-01-20,1.09100000000000000000
2016-01-27,1.08384000000000000000
2016-02-03,1.09262000000000000000
2016-02-10,1.12044000000000000000
2016-02-17,1.12192500000000000000
2016-02-24,1.10548000000000000000
2016-03-02,1.09036000000000000000
2016-03-09,1.10024000000000000000
2016-03-16,1.11272000000000000000
2016-03-23,1.12540000000000000000
2016-03-30,1.12142000000000000000
2016-04-06,1.13930000000000000000
2016-04-13,1.13760000000000000000
2016-04-20,1.13168000000000000000
2016-04-27,1.12908000000000000000
2016-05-04,1.14552000000000000000
2016-05-11,1.14114000000000000000
2016-05-18,1.13230000000000000000
2016-05-25,1.11824000000000000000
2016-06-01,1.11560000000000000000
2016-06-08,1.13182000000000000000
2016-06-15,1.12674000000000000000
2016-06-22,1.12560000000000000000
2016-06-29,1.11388000000000000000
2016-07-06,1.10835000000000000000
2016-07-13,1.10668000000000000000
2016-07-20,1.10530000000000000000
2016-07-27,1.09872000000000000000
2016-08-03,1.11666000000000000000
2016-08-10,1.11146000000000000000
2016-08-17,1.12158000000000000000
2016-08-24,1.13076000000000000000
2016-08-31,1.11978000000000000000
2016-09-07,1.12067500000000000000
2016-09-14,1.12426000000000000000
2016-09-21,1.11844000000000000000
2016-09-28,1.12260000000000000000
2016-10-05,1.12200000000000000000
2016-10-12,1.10975000000000000000
2016-10-19,1.09972000000000000000
2016-10-26,1.08988000000000000000
2016-11-02,1.09922000000000000000
2016-11-09,1.10478000000000000000
2016-11-16,1.07575000000000000000
2016-11-23,1.06062000000000000000
2016-11-30,1.05937500000000000000
2016-12-07,1.06996000000000000000
2016-12-14,1.06126000000000000000
2016-12-21,1.04180000000000000000
2016-12-28,1.04370000000000000000
2017-01-04,1.04825000000000000000
2017-01-11,1.05614000000000000000
2017-01-18,1.06670000000000000000
2017-01-25,1.07155000000000000000
2017-02-01,1.07186000000000000000
2017-02-08,1.07446000000000000000
2017-02-15,1.06170000000000000000
2017-02-22,1.05950000000000000000
2017-03-01,1.05944000000000000000
