v_id,lng,lat,type,voltage,frequency,wkt_srid_4326
13488,-104.991715,39.70802458,station,,,SRID=4326;POINT(-104.991715008492 39.7080245767497)
3910,-94.63786318,39.04374216,station,,,SRID=4326;POINT(-94.6378631839412 39.0437421595651)
4571,-108.762401,42.52499023,station,,,SRID=4326;POINT(-108.762400998837 42.5249902332029)
28308,-82.6923384,34.53256081,merge,,,SRID=4326;POINT(-82.6923384014785 34.5325608078019)
1878,-103.6304379,39.73951409,station,,,SRID=4326;POINT(-103.630437930509 39.7395140857801)
21070,-66.39586372,48.0465746,joint,,,SRID=4326;POINT(-66.3958637191916 48.0465746038946)
10542,-91.13926184,30.41602276,substation,230000,,SRID=4326;POINT(-91.1392618375258 30.4160227601229)
29670,-78.27146153,44.25599208,joint,230000,,SRID=4326;POINT(-78.2714615252648 44.2559920778198)
30155,-82.18352288,33.46830911,joint,,,SRID=4326;POINT(-82.1835228845145 33.4683091144681)
19588,-94.7417414,38.94678769,joint,,,SRID=4326;POINT(-94.7417414043478 38.9467876939033)
8294,-97.30596694,32.9566415,substation,345000;138000,60,SRID=4326;POINT(-97.3059669403413 32.9566414977731)
14067,-74.19942943,40.86304173,substation,,,SRID=4326;POINT(-74.1994294277208 40.8630417347074)
23848,-79.44094944,35.74320351,joint,230000,60,SRID=4326;POINT(-79.4409494418416 35.7432035143976)
14494,-82.28903944,34.82893146,substation,,,SRID=4326;POINT(-82.2890394368894 34.8289314566594)
23399,-88.12611457,44.2193967,joint,345000,60,SRID=4326;POINT(-88.1261145742932 44.2193966950401)
5574,-69.56325133,44.28873849,sub_station,,,SRID=4326;POINT(-69.5632513317427 44.2887384923075)
30356,-66.01886538,45.28762658,joint,,,SRID=4326;POINT(-66.0188653807729 45.2876265840218)
12304,-79.89348214,43.29761358,substation,,,SRID=4326;POINT(-79.8934821442553 43.2976135760458)
1862,-118.1478369,33.97574931,substation,220000;66000;16000,60,SRID=4326;POINT(-118.147836867674 33.975749309928)
6099,-120.7835971,38.73087522,station,,,SRID=4326;POINT(-120.783597142714 38.7308752218796)
22121,-98.68970646,29.80394256,joint,345000;138000;138000;345000;138000,60,SRID=4326;POINT(-98.6897064630108 29.8039425615364)
27390,-102.0106985,19.86136813,joint,230000,60,SRID=4326;POINT(-102.010698477666 19.861368129376)
8505,-115.690688,43.12682736,substation,,,SRID=4326;POINT(-115.690687998276 43.1268273570957)
27412,-82.14269383,28.25823319,joint,230000,60,SRID=4326;POINT(-82.1426938341019 28.2582331866301)
16218,-94.25553644,39.00933124,substation,,,SRID=4326;POINT(-94.2555364365459 39.0093312434906)
18691,-81.45948086,35.79704396,joint,,,SRID=4326;POINT(-81.4594808634171 35.7970439609811)
7004,-84.98392192,35.98874291,station,,,SRID=4326;POINT(-84.9839219205739 35.9887429078365)
16373,-82.44611913,27.33094141,substation,230000;24000,60,SRID=4326;POINT(-82.446119134515 27.3309414132045)
2755,-83.17624985,39.56013512,station,,,SRID=4326;POINT(-83.176249847874 39.5601351238791)
22745,-82.00453779,28.96923538,joint,230000,,SRID=4326;POINT(-82.0045377943069 28.9692353756273)
18407,-89.18037191,30.85568699,joint,,,SRID=4326;POINT(-89.1803719120126 30.8556869910078)
25291,-88.1203588,45.06672871,joint,,,SRID=4326;POINT(-88.1203587987732 45.0667287080387)
5647,-64.63877427,48.84235853,substation,,,SRID=4326;POINT(-64.63877427043 48.8423585313834)
25168,-78.21592857,38.11764286,joint,230000,60,SRID=4326;POINT(-78.2159285669865 38.1176428648485)
181,-79.53502638,43.75453414,substation,,,SRID=4326;POINT(-79.5350263843081 43.7545341408241)
4652,-97.05231285,46.87460415,sub_station,,,SRID=4326;POINT(-97.0523128464484 46.8746041504445)
22145,-78.46936325,43.04071428,joint,,,SRID=4326;POINT(-78.4693632512359 43.0407142787745)
13230,-93.25917555,36.56426259,substation,,,SRID=4326;POINT(-93.2591755470952 36.5642625916643)
8301,-84.27405291,33.53199506,sub_station,,,SRID=4326;POINT(-84.2740529142021 33.5319950610286)
25165,-109.5792697,32.77721795,joint,,,SRID=4326;POINT(-109.579269659551 32.777217954496)
6405,-77.21587266,36.337965,substation,,,SRID=4326;POINT(-77.2158726550424 36.3379649964508)
7475,-114.6846346,33.61620769,station,,,SRID=4326;POINT(-114.684634626988 33.6162076874797)
27108,-103.317824,34.18261941,joint,,,SRID=4326;POINT(-103.317824022017 34.1826194146183)
20779,-72.64771634,46.47170319,joint,,,SRID=4326;POINT(-72.6477163376376 46.4717031912091)
14842,-93.88992771,29.94567197,substation,230000,60,SRID=4326;POINT(-93.8899277057535 29.945671967105)
3083,-76.42968626,37.02836144,station,,,SRID=4326;POINT(-76.4296862586923 37.028361438942)
23504,-88.09707617,41.71357578,joint,345000;138000;138000,60,SRID=4326;POINT(-88.0970761734079 41.7135757829813)
497,-121.9705053,38.28543603,station,,,SRID=4326;POINT(-121.970505309655 38.2854360266168)
3020,-77.62891913,37.50720922,station,,,SRID=4326;POINT(-77.6289191286681 37.5072092190518)
30855,-79.05381834,40.39129239,joint,500000,,SRID=4326;POINT(-79.0538183387672 40.3912923921557)
13242,-84.37092865,33.94393535,station,,,SRID=4326;POINT(-84.3709286502084 33.9439353543446)
17169,-92.28513764,38.56889708,substation,,,SRID=4326;POINT(-92.2851376446768 38.5688970784599)
29332,-93.3246445,30.18447089,merge,69000;230000,60,SRID=4326;POINT(-93.32464450434 30.1844708887341)
22567,-65.41008334,46.99883631,joint,,,SRID=4326;POINT(-65.4100833386131 46.998836305877)
14125,-82.12753097,38.42660748,sub_station,,,SRID=4326;POINT(-82.1275309697048 38.4266074831529)
8326,-83.3929823,33.97117389,sub_station,,,SRID=4326;POINT(-83.3929822967748 33.971173885354)
23591,-77.6092508,40.58716376,joint,230000,60,SRID=4326;POINT(-77.6092508008672 40.5871637583904)
19914,-81.52505204,28.26905631,joint,230000,,SRID=4326;POINT(-81.5250520401084 28.2690563139597)
29601,-96.75584954,29.91313598,merge,345000;138000,,SRID=4326;POINT(-96.7558495396333 29.9131359798133)
23906,-92.56936657,47.37421219,joint,,,SRID=4326;POINT(-92.5693665733392 47.3742121855377)
25673,-75.24028254,40.67361816,joint,,,SRID=4326;POINT(-75.240282544538 40.6736181600708)
24584,-85.54516718,42.20550628,joint,,,SRID=4326;POINT(-85.5451671772776 42.2055062770889)
1755,-114.5480836,35.1536488,substation,,,SRID=4326;POINT(-114.548083562593 35.1536488024768)
29097,-113.4956324,32.97544737,merge,500000,,SRID=4326;POINT(-113.495632392707 32.9754473655199)
748,-79.68037209,43.69548744,substation,,,SRID=4326;POINT(-79.6803720934207 43.6954874404617)
690,-75.29934213,40.10391573,sub_station,,,SRID=4326;POINT(-75.299342133254 40.1039157272675)
21780,-71.52941307,42.56885359,joint,345000,60,SRID=4326;POINT(-71.5294130727477 42.5688535900618)
3721,-94.88050746,39.71125912,station,,,SRID=4326;POINT(-94.8805074598904 39.7112591213437)
23321,-101.7471393,35.29355682,joint,230000,60,SRID=4326;POINT(-101.747139331007 35.2935568243725)
26077,-88.55434345,44.7610899,joint,,,SRID=4326;POINT(-88.5543434465266 44.7610898970582)
29806,-106.0604472,28.80222584,joint,23000;230000;230000,,SRID=4326;POINT(-106.060447194894 28.8022258443022)
2908,-74.65670184,40.16872833,station,,,SRID=4326;POINT(-74.6567018376569 40.1687283286285)
16985,-82.08166773,33.45204879,sub_station,,,SRID=4326;POINT(-82.0816677281704 33.4520487856811)
30580,-104.7362616,38.72645955,joint,,,SRID=4326;POINT(-104.736261610885 38.7264595514206)
29068,-96.70040393,36.57391176,merge,,60,SRID=4326;POINT(-96.7004039277509 36.5739117571308)
20084,-97.63905829,25.82176646,joint,230000,60,SRID=4326;POINT(-97.6390582866083 25.8217664576382)
29831,-71.28286097,42.59886792,joint,345000;115000;345000,60,SRID=4326;POINT(-71.2828609730049 42.5988679182975)
6729,-84.88243584,34.38460043,sub_station,,,SRID=4326;POINT(-84.8824358410944 34.384600433673)
28584,-68.52776139,45.39732055,merge,,,SRID=4326;POINT(-68.5277613858758 45.3973205506789)
19996,-66.87355105,46.03023297,joint,345000,,SRID=4326;POINT(-66.8735510461913 46.0302329747151)
4456,-82.78368578,38.5729248,station,,,SRID=4326;POINT(-82.7836857837248 38.5729248029312)
30588,-95.92660994,43.6450474,joint,,,SRID=4326;POINT(-95.9266099356531 43.645047400909)
28264,-77.1292792,38.86954403,merge,,,SRID=4326;POINT(-77.1292791998739 38.8695440284824)
21496,-111.0448822,29.05190391,joint,230000,60,SRID=4326;POINT(-111.044882184701 29.0519039121261)
21907,-72.5745676,41.79993896,joint,345000,,SRID=4326;POINT(-72.5745676020301 41.7999389550383)
11776,-88.56853746,39.14444326,sub_station,,,SRID=4326;POINT(-88.5685374607401 39.144443260576)
28042,-90.4467435,38.2130343,joint,,60,SRID=4326;POINT(-90.4467434970371 38.2130342964314)
2059,-71.26315246,42.37787644,substation,345000,60,SRID=4326;POINT(-71.2631524580386 42.3778764426614)
