l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,wkt_srid_4326
14793,8640,23216,,,,,"SRID=4326;LINESTRING(-93.8811087347178 45.3806607096095,-93.8710814749021 45.3792139595455)"
5703,769,28515,500000,3,,,"SRID=4326;LINESTRING(-79.6152394761002 43.7715664481602,-79.6134698142819 43.7646751945549)"
13193,6511,22471,,3;6,,60,"SRID=4326;LINESTRING(-96.8771071645016 37.8080869923755,-96.890893437789 37.8152488016156)"
29493,29880,5883,,,,,"SRID=4326;LINESTRING(-77.8898701622072 43.1639943514292,-77.7423866914624 43.1460297707917)"
27659,3205,3767,230000,3,,,"SRID=4326;LINESTRING(-97.3525383477735 49.8039798126559,-97.3120115990316 49.1343865515289)"
4602,2573,29592,,,,,"SRID=4326;LINESTRING(-119.513321768805 39.5600115549471,-119.520203050184 39.56345776595)"
41470,2027,2028,115000,3,,60,"SRID=4326;LINESTRING(-71.2423156946496 42.6227847155334,-71.2466592278193 42.6238613234927)"
16172,9876,18868,,,,,"SRID=4326;LINESTRING(-78.1094424607124 35.1870085711385,-78.0828518713025 35.2205159701228)"
18507,6790,24876,230000,6;3;3,1,60,"SRID=4326;LINESTRING(-81.7688183864897 26.6729474696482,-81.7756671821756 26.6990297274313)"
21536,28544,26318,,8,,,"SRID=4326;LINESTRING(-105.017973960659 39.7363296925592,-105.119573639903 39.7329486841598)"
37172,19257,364,,,,,"SRID=4326;LINESTRING(-122.499133106203 38.0065672741815,-122.540361292178 38.0767756400956)"
22660,26175,26862,,,,,"SRID=4326;LINESTRING(-101.996284380112 36.7621031004477,-102.10401250494 36.7622579002315)"
34076,24339,10830,,3,,60,"SRID=4326;LINESTRING(-96.3911754674355 36.7695794075779,-96.6561114068172 36.7639351656159)"
32601,9107,9138,,3,,,"SRID=4326;LINESTRING(-112.220799153071 43.7147526359922,-112.220415191025 43.5549087684842)"
32295,8807,8817,230000;69000,,,,"SRID=4326;LINESTRING(-83.2102333573732 30.7646960907792,-83.2179833212049 30.7283636403613)"
1629,28968,30322,500000,3,2,,"SRID=4326;LINESTRING(-119.452247780269 35.4030708371503,-119.668636702924 35.33960247202)"
29860,9757,6320,230000,3;6;6;3;3,,60,"SRID=4326;LINESTRING(-76.9919508312004 41.168618022951,-77.0175454539406 41.2217080217883)"
39566,27737,17056,,,,,"SRID=4326;LINESTRING(-92.477966047452 39.2848343974078,-92.2993398506398 39.246791649819)"
21909,14892,26510,,,,,"SRID=4326;LINESTRING(-97.5746972096429 35.4098718467981,-97.5764730200898 35.4091566963824)"
30967,22771,7512,138000;230000;230000;138000,3;6,,60,"SRID=4326;LINESTRING(-81.5370514661791 30.4093327210607,-81.5497784203959 30.4182619367947)"
34793,24790,11801,,,,,"SRID=4326;LINESTRING(-83.8415232902229 43.6373699197755,-83.8434249419378 43.6399399262792)"
34070,10817,10818,,3,,60,"SRID=4326;LINESTRING(-95.449549019403 37.1567771523588,-95.6009422892819 37.1603041475212)"
6019,6128,28614,115000,,,,"SRID=4326;LINESTRING(-77.2232706640228 42.963324953257,-77.2464748638712 42.9663158663437)"
15274,26065,23449,345000,3,,60,"SRID=4326;LINESTRING(-89.4559082065233 41.8483615843573,-89.2814013895988 41.9591036074648)"
3562,1227,31130,345000,3,,,"SRID=4326;LINESTRING(-119.313328812651 45.9240155626539,-119.331593732889 45.9400983812903)"
17887,24615,24616,,,,,"SRID=4326;LINESTRING(-75.9001597095927 44.7857838763676,-75.9007738877525 44.7863726103724)"
33377,4541,9993,115000,3,,60,"SRID=4326;LINESTRING(-81.1751900786485 32.3520934799212,-81.1224774944474 32.3686292372724)"
15092,23365,23366,345000,3,,60,"SRID=4326;LINESTRING(-83.0053909172061 42.7157369671915,-83.0062715356791 42.721398868414)"
26097,1190,19689,,,,,"SRID=4326;LINESTRING(-76.6250987385704 44.3636851909565,-76.6467989495651 44.2755112588054)"
14863,8712,23254,230000,3,,60,"SRID=4326;LINESTRING(-111.99513029811 32.9603230385099,-111.996271373111 33.0312261019256)"
12011,5461,21999,345000,3,,,"SRID=4326;LINESTRING(-72.477412981103 41.4608940132587,-72.6283939352023 41.4871424937686)"
31282,5452,7839,230000,3,,60,"SRID=4326;LINESTRING(-118.379610838302 46.0701473882581,-118.846125016288 46.0638144178994)"
6683,8309,28829,230000,3,,60,"SRID=4326;LINESTRING(-103.684184199715 43.444743650722,-104.411091045717 43.9715729703043)"
39119,16548,16549,230000,6,,60,"SRID=4326;LINESTRING(-99.0114027556409 19.6306622951148,-99.057269941785 19.6107363932577)"
14529,8353,23090,,,,,"SRID=4326;LINESTRING(-84.7686326814262 42.246099359801,-84.7665275214336 42.2543135923981)"
14196,2068,18734,,,,,"SRID=4326;LINESTRING(-85.4382910634938 38.7417446251383,-85.4297608822213 38.7387230215029)"
9091,5045,20631,240000,6,,60,"SRID=4326;LINESTRING(-113.481390740811 53.4565759854462,-113.476434809234 53.4614345734385)"
38680,27621,16101,230000,3,,60,"SRID=4326;LINESTRING(-90.3546472259624 19.7424985081953,-89.5693054810873 20.4067294077947)"
16472,10296,23974,,,,,"SRID=4326;LINESTRING(-83.223650626789 42.1332262769164,-83.2221640072377 42.1285940152401)"
28921,5255,5256,230000;115000;230000;230000;115000;115000,6;3;3;3;3,,60,"SRID=4326;LINESTRING(-90.0144986563998 32.2828651125885,-89.9644607249654 32.2884456412202)"
18171,4385,24739,,,,,"SRID=4326;LINESTRING(-82.4669866682 42.7972056480089,-82.426627310394 42.8770421120956)"
19383,25387,25294,,,,,"SRID=4326;LINESTRING(-88.1195414216962 45.0957038946878,-88.1192591710339 45.1031105841992)"
30864,6055,7421,230000,3,,60,"SRID=4326;LINESTRING(-79.3812192278051 42.4360882450156,-79.7599866634564 42.1965690698999)"
33843,1723,10491,345000,3;6,,60,"SRID=4326;LINESTRING(-73.858070400934 40.9394142494805,-73.8090262678075 41.0499849055755)"
11655,13653,21840,230000,3,,60,"SRID=4326;LINESTRING(-111.918386869662 33.4506352329243,-111.941262946856 33.4473994146979)"
10129,13642,21149,161000;500000;161000,3,,,"SRID=4326;LINESTRING(-88.8340447582737 36.2750631010998,-88.8256899985522 36.275855114126)"
25805,19548,19551,230000;69000,6;3,,,"SRID=4326;LINESTRING(-81.4508368245956 28.4769663276777,-81.4538194110019 28.4744860008765)"
7933,19662,29337,,,,,"SRID=4326;LINESTRING(-111.987733694819 41.0748156087679,-111.988617274954 41.0678077217597)"
28367,28517,4610,230000,6;3;3,,60,"SRID=4326;LINESTRING(-100.100803270429 25.7209222494561,-100.367342320046 25.865269714281)"
2865,29553,30853,,3,,,"SRID=4326;LINESTRING(-114.743171595021 36.0180608195057,-114.738110854245 36.0127053318142)"
15387,9216,23506,230000,6,,,"SRID=4326;LINESTRING(-84.2666528079858 34.0986393103557,-84.2461949221086 34.103623188886)"
25297,19319,19320,230000,3,2,60,"SRID=4326;LINESTRING(-122.194333742155 47.467146805365,-122.196196578559 47.4704916782754)"
7985,2327,29355,345000,6,,60,"SRID=4326;LINESTRING(-81.5714515807411 41.3611441661127,-81.4669874284202 41.364535539008)"
30270,6815,6816,230000,3,,,"SRID=4326;LINESTRING(-83.7031443733424 32.6030128925575,-83.7278228170885 32.6179447040497)"
20064,16522,25639,,,,,"SRID=4326;LINESTRING(-84.5043148146381 47.9593334829275,-84.5067603432518 47.9553399668019)"
8661,4914,20469,230000,3,,60,"SRID=4326;LINESTRING(-81.5376439041178 30.107370154947,-81.5362885270083 30.075432672785)"
23320,7681,27180,138000;230000,3,,60,"SRID=4326;LINESTRING(-80.3376718722557 25.7054217346868,-80.360073211371 25.7014372260783)"
14297,14395,18737,,,,,"SRID=4326;LINESTRING(-86.5994275896876 38.3241005435736,-86.5058738714773 38.4351499830002)"
24895,17253,27900,,3,1,60,"SRID=4326;LINESTRING(-91.2731478492432 38.1667562297765,-91.2371287150525 38.181696305779)"
8020,16373,29364,230000,3,,60,"SRID=4326;LINESTRING(-82.446119134515 27.3309414132045,-82.4829879415355 27.3579491906937)"
28464,4745,4746,230000,3,,60,"SRID=4326;LINESTRING(-99.0041583595345 46.027008729682,-99.0103443608286 45.9391321829482)"
33278,8721,9895,,,,,"SRID=4326;LINESTRING(-92.1788489991513 47.5908320608335,-92.1623362711008 47.530896499546)"
40674,3442,1206,230000,3,,,"SRID=4326;LINESTRING(-122.645337302127 45.9406922952443,-122.912976566393 46.1816526900294)"
33618,5348,10225,230000,3;6;3;3,,60,"SRID=4326;LINESTRING(-91.2544438930066 30.2615273117007,-91.0887968694774 30.1044423809659)"
27058,30301,20153,,,,,"SRID=4326;LINESTRING(-79.0420555890561 35.9976140267647,-79.0492954764011 35.9957284553148)"
19172,12629,25173,,,,,"SRID=4326;LINESTRING(-117.482685009304 47.6282401491912,-117.497411520592 47.6313733607654)"
28831,5157,5156,230000,,,,"SRID=4326;LINESTRING(-103.070074658179 46.8417721598059,-103.524236307266 46.8550305322154)"
9650,20904,20906,230000,,,,"SRID=4326;LINESTRING(-80.3544115792928 26.0356948051664,-80.360505031528 26.0355303068741)"
5460,10436,28450,230000,3,,60,"SRID=4326;LINESTRING(-115.003411333624 36.0401212074024,-114.998782124568 36.0385987952301)"
13756,19672,22726,345000,3,,60,"SRID=4326;LINESTRING(-95.8242847140705 41.1761848848806,-95.8228966372935 41.1843401189507)"
40092,3572,642,500000,3,,60,"SRID=4326;LINESTRING(-119.407885660344 48.004254643433,-119.019893745597 47.9662956564547)"
2496,16130,30695,230000,3,1,60,"SRID=4326;LINESTRING(-81.7688443356498 26.6260181257541,-81.7678230032831 26.6180405861901)"
4198,952,29481,500000,3,,,"SRID=4326;LINESTRING(-122.875672278663 46.7547330700897,-122.953191612899 46.9998759049773)"
565,10851,29881,,,,,"SRID=4326;LINESTRING(-103.143069974226 32.6823996463951,-103.196365863463 32.6824058542709)"
38097,2659,15532,500000,3,3,60,"SRID=4326;LINESTRING(-112.843500961904 33.3347327146892,-112.843245680441 33.3463659289826)"
2899,10143,30867,230000,3,,60,"SRID=4326;LINESTRING(-88.5138065910546 30.4125743465242,-88.5341692175475 30.5010080832599)"
14507,23079,23081,345000;115000,6,,60,"SRID=4326;LINESTRING(-96.6823095695505 40.8971251609979,-96.6428338230421 40.9076927178534)"
25338,500,19340,230000,3,,60,"SRID=4326;LINESTRING(-121.614455153837 37.7643178974414,-121.612093385699 37.7627129541672)"
38873,536,16283,230000;69000;230000,3,,60,"SRID=4326;LINESTRING(-82.2013064334803 27.8559675684376,-82.1468741301904 27.9660292301626)"
20118,25666,25671,,,,,"SRID=4326;LINESTRING(-75.2482478163307 40.6822161884516,-75.2460348166283 40.6751258893922)"
2902,3586,30868,230000,3,,60,"SRID=4326;LINESTRING(-113.668706990579 42.7055381198625,-114.230473603748 42.6374269231374)"
12381,22186,22151,,,,,"SRID=4326;LINESTRING(-78.9885804124727 43.1619666081308,-78.9746028063148 43.1424029681535)"
37139,345,354,230000,6,2,,"SRID=4326;LINESTRING(-121.470084317457 38.4895282573393,-121.123777688015 38.3442192444842)"
20275,25747,25754,,,,,"SRID=4326;LINESTRING(-75.4004900686015 40.6409521580158,-75.3982682654093 40.6522458206279)"
21038,26088,26087,,,,,"SRID=4326;LINESTRING(-88.363229744439 49.1361747718047,-88.3644803789776 49.1358508700614)"
23451,24881,27243,230000,3,1,60,"SRID=4326;LINESTRING(-81.9562074438744 26.9467452829048,-81.9564015698073 26.7044496859272)"
32099,3350,8604,345000,6,,60,"SRID=4326;LINESTRING(-96.1328032092439 31.3713190685568,-96.2062842864884 31.3769871467229)"
5616,16491,28494,230000,6,,60,"SRID=4326;LINESTRING(-103.325061725484 20.7848216338061,-103.350284147723 20.7774146687688)"
13075,18604,18680,,,,,"SRID=4326;LINESTRING(-82.729092941166 37.3879610230598,-83.0878188903725 37.2243729555195)"
9076,18303,18301,,,,,"SRID=4326;LINESTRING(-81.6655029161283 34.2517229649268,-81.6503839105705 34.2543020047951)"
2922,30876,30877,,,,,"SRID=4326;LINESTRING(-108.021901553087 37.1744931915809,-108.037778750569 36.9997316179163)"
5859,383,28558,765000,3,,60,"SRID=4326;LINESTRING(-80.8060468604617 39.8338365936824,-81.3089875076312 39.3451336440092)"
27504,3607,3608,345000,,,,"SRID=4326;LINESTRING(-87.6666149769832 41.6368656030363,-87.7331117289012 41.6401182418942)"
4573,2384,29582,,,,,"SRID=4326;LINESTRING(-82.0505614334923 41.4781241648552,-82.0532805631562 41.5024877351319)"
4521,3027,29564,138000;500000;138000,,,,"SRID=4326;LINESTRING(-78.9555821329232 38.0957064812075,-78.8497466805997 38.1066970838077)"
7689,14283,29239,,,,,"SRID=4326;LINESTRING(-81.6831680413686 35.7395030551078,-81.6844710090348 35.7377021081973)"
8668,20471,20473,,3,1,,"SRID=4326;LINESTRING(-120.843206918557 36.9283779964697,-120.775623425798 36.8610048938042)"
18958,5922,25074,,,,,"SRID=4326;LINESTRING(-70.6178354441969 43.3969446882817,-70.6255501527596 43.3890718097403)"
38475,14039,15888,,,,,"SRID=4326;LINESTRING(-92.0644451341922 41.5643600356949,-92.6984896036073 41.5714125891949)"
4361,9416,29520,345000,6,,60,"SRID=4326;LINESTRING(-85.7034402485009 38.0393845415766,-85.5132472506946 38.2259063598433)"
28564,4808,4846,138000,,,,"SRID=4326;LINESTRING(-95.4505387911979 29.7246880330842,-95.4478356057192 29.6837535719641)"
14485,8162,23072,345000;115000,3;6,,60,"SRID=4326;LINESTRING(-97.2630159879536 41.2209296168252,-97.262728232442 41.0416390121739)"
15522,18802,18803,,,,,"SRID=4326;LINESTRING(-90.1759408749161 36.5850249738134,-90.0944988926056 36.4530169580554)"
14260,20922,22964,230000,3,,60,"SRID=4326;LINESTRING(-117.659873816018 48.7427705867291,-117.663387935578 48.7411646628495)"
19429,106,19059,500000,3,2,60,"SRID=4326;LINESTRING(-121.020769370059 37.0532597183161,-121.549146098121 37.7048910607271)"
31488,7583,8027,230000,3,,60,"SRID=4326;LINESTRING(-106.359684136497 42.872186330428,-105.949223726707 42.8822427254128)"
40254,790,791,,,,,"SRID=4326;LINESTRING(-75.3492383393988 40.6226358481099,-75.3581629148416 40.6204211848865)"
15518,9321,23561,230000,3,,60,"SRID=4326;LINESTRING(-86.2604302371721 40.6777256589667,-86.2761830974916 40.512153593075)"
34547,2644,11495,,,,,"SRID=4326;LINESTRING(-84.35698684826 42.2404417856961,-84.3747719565345 42.2315072933797)"
37491,14836,14855,230000,3,,60,"SRID=4326;LINESTRING(-109.678568910981 30.3693315049001,-109.542775113988 30.3406841445306)"
3536,9150,31119,,,,,"SRID=4326;LINESTRING(-123.046822233258 44.5713188135184,-123.101255408597 44.6029343152336)"
33097,3097,9646,230000,3,,60,"SRID=4326;LINESTRING(-108.852113932619 46.0513788766148,-109.382058993478 46.2794720374578)"
38418,549,15818,240000,6,1,60,"SRID=4326;LINESTRING(-113.37153006232 53.5397561169882,-113.365266711237 53.5879058675584)"
3581,19799,31138,69000,3,,,"SRID=4326;LINESTRING(-77.2762542183654 39.1358287980328,-77.2777751332872 39.136105464247)"
42269,2854,2856,230000,6,,,"SRID=4326;LINESTRING(-74.870326066958 39.9159894117758,-74.8103852875882 39.9505411485117)"
7237,3412,29063,500000,3,3,,"SRID=4326;LINESTRING(-119.264704528721 45.8062373554612,-119.31134101461 45.7931806556746)"
34862,30919,11904,,,,,"SRID=4326;LINESTRING(-94.3123198779496 18.053404312636,-94.3053325629687 18.0544869261417)"
3035,4294,30919,,,,,"SRID=4326;LINESTRING(-94.3986095960308 18.0296668932883,-94.3123198779496 18.053404312636)"
148,31218,29701,,,,,"SRID=4326;LINESTRING(-114.738454745372 36.0135822066092,-114.737497314428 36.0131544679032)"
27627,3709,3740,345000,,,,"SRID=4326;LINESTRING(-91.6823620927977 41.7071123447265,-91.7812116026797 42.1000750563254)"
31160,22881,7721,230000;120000,3,,60,"SRID=4326;LINESTRING(-102.409739469351 34.1631723753015,-102.409684800804 34.1650476612359)"
14304,19401,22984,230000,6,1,,"SRID=4326;LINESTRING(-118.22575872576 34.0787411085855,-118.224762673773 34.0655556604746)"
16223,18285,23854,230000,3,,60,"SRID=4326;LINESTRING(-80.1358611724716 34.408545292972,-79.8573706783175 34.6460581956816)"
8757,1225,20494,230000,3,,,"SRID=4326;LINESTRING(-121.115759427184 45.6063697327872,-121.555247096204 45.5268665636017)"
14709,8491,23173,,,,,"SRID=4326;LINESTRING(-115.9776167072 42.9448965885466,-115.978828038083 42.9440941883669)"
20032,17388,25623,240000,3,,60,"SRID=4326;LINESTRING(-113.025605716841 52.3839427739396,-113.730329610572 52.2371762692265)"
14719,7383,23178,230000,3,,,"SRID=4326;LINESTRING(-84.4889302531813 30.8396297742137,-84.3787006485981 30.4800455906571)"
33772,24029,10421,230000,6;3;3;6;6;6,,60,"SRID=4326;LINESTRING(-111.454936701432 32.9448892074848,-111.50870960919 32.9162326621978)"
12590,22212,22253,,,,,"SRID=4326;LINESTRING(-78.8571965919415 43.0382463863917,-78.857368888813 43.0383394889543)"
3986,7170,31287,,,,,"SRID=4326;LINESTRING(-83.6376004655834 32.9152645643424,-83.6963067296828 32.9271476717746)"
5796,4956,28544,,6,2,,"SRID=4326;LINESTRING(-104.998799147456 39.7760297034582,-105.017973960659 39.7363296925592)"
38386,20436,490,,6,1,,"SRID=4326;LINESTRING(-121.789915345348 37.997424659371,-121.782613954448 37.9993091008561)"
29768,6206,6207,765000,3,,60,"SRID=4326;LINESTRING(-82.0802511690944 38.4146425026465,-81.829421235864 38.4737109609797)"
15790,12538,23654,,,,,"SRID=4326;LINESTRING(-96.0923827078682 43.6818132635589,-96.1998930617376 43.6550428069471)"
30715,601,7267,220000,3,,60,"SRID=4326;LINESTRING(-117.559054977739 35.0149234167607,-117.647282842729 35.365272313518)"
2823,2715,30833,345000,6,,60,"SRID=4326;LINESTRING(-96.0818019146851 30.6225120144962,-96.0820222557522 30.624318349885)"
7442,25118,29152,,,,,"SRID=4326;LINESTRING(-81.7722452297638 46.2877079870361,-81.7780392848908 46.2748763099737)"
14792,8639,23216,,,,,"SRID=4326;LINESTRING(-93.8709937993304 45.3720221769517,-93.8710814749021 45.3792139595455)"
31022,7567,7569,230000,3,,60,"SRID=4326;LINESTRING(-105.778598759222 42.8371714374259,-105.779464831796 42.8616510360426)"
31928,8431,8433,,3,,,"SRID=4326;LINESTRING(-109.981871222552 41.5654588490697,-110.064858146045 42.027001180402)"
10463,3272,18367,500000,,,,"SRID=4326;LINESTRING(-89.2099771493795 33.3859385677551,-88.7278194466626 33.6006035972366)"
37831,9887,15226,,,,,"SRID=4326;LINESTRING(-79.1691208724374 34.9299171779959,-79.1138348790561 34.8292281610466)"
42133,22550,2711,,,,,"SRID=4326;LINESTRING(-126.669314596362 54.4059960961343,-128.632209546729 54.4522457326758)"
5591,5834,28489,,,,,"SRID=4326;LINESTRING(-75.5810903995247 41.4898012336282,-75.7998638608712 41.3764354308072)"
25341,509,19341,345000,,,,"SRID=4326;LINESTRING(-82.9001414960428 39.8712685314954,-83.0384941049205 39.8408010566687)"
32671,9204,9207,230000,3,,,"SRID=4326;LINESTRING(-84.1335752686587 34.3781184827622,-84.1205608456359 34.3757875750767)"
38638,11458,16062,,,,,"SRID=4326;LINESTRING(-88.6769903652341 41.2458644382257,-88.6595046791775 41.2624066195601)"
27399,30794,3510,345000,3,,60,"SRID=4326;LINESTRING(-88.0041636781084 41.9124879921265,-88.0467785502966 41.8953906497361)"
30213,6751,6754,500000,,,,"SRID=4326;LINESTRING(-84.1671726845437 33.9102398270543,-84.1328642021974 33.8704604723059)"
37185,6624,14535,230000,,,,"SRID=4326;LINESTRING(-79.0498595657219 43.1461528341015,-79.5846517655877 43.1252107372412)"
6799,8728,28873,345000,3,,60,"SRID=4326;LINESTRING(-76.4072268222941 43.5131838725894,-76.3979885817735 43.5226173281123)"
10143,21159,21160,230000,3,,60,"SRID=4326;LINESTRING(-108.892072211423 25.8335078685308,-108.890977973576 25.8356301896207)"
30096,1889,6613,500000,3,,60,"SRID=4326;LINESTRING(-122.787867147725 55.0705470686924,-121.996308410252 55.9839355713685)"
37156,19280,358,230000,3;6,,,"SRID=4326;LINESTRING(-79.1000774190755 43.8574375109398,-79.113539417677 43.8520446722016)"
28598,29822,4891,,,,,"SRID=4326;LINESTRING(-112.134431982733 33.4404523775882,-112.095231046962 33.4409003019645)"
1277,4113,30175,,6,1,,"SRID=4326;LINESTRING(-97.1557502671558 49.8555033833618,-97.1699906490791 49.8444004646776)"
5416,3840,28438,500000,3,2,60,"SRID=4326;LINESTRING(-111.037330871464 33.3391737161161,-110.303197343718 34.9383025522753)"
22472,2790,26788,,,,,"SRID=4326;LINESTRING(-68.5431493136109 48.4077343969624,-68.5403720016031 48.4085271142918)"
34962,12028,12029,,,,,"SRID=4326;LINESTRING(-85.6583728714561 42.9739556024645,-85.6417211264686 42.9716855881012)"
37951,380,446,735000,3,4,,"SRID=4326;LINESTRING(-73.4282474575576 45.4097647837305,-73.3653921642176 45.6008675453238)"
33111,389,9688,230000,6,,60,"SRID=4326;LINESTRING(-122.583803381992 38.4428002137625,-122.593337202961 38.4288558105375)"
9884,3725,21019,,,,,"SRID=4326;LINESTRING(-71.8705371601651 46.8533208973576,-71.875613183127 46.8223371842396)"
25422,546,19376,,,,,"SRID=4326;LINESTRING(-111.939007469049 41.1905867145553,-111.937762122363 41.1908136186178)"
14180,5419,22930,345000,3,4,60,"SRID=4326;LINESTRING(-73.9042720789806 42.6091284474721,-75.2203970780826 43.1605464645799)"
33305,9913,9918,115000,3,,60,"SRID=4326;LINESTRING(-79.9321234607889 33.0176568046699,-79.8727027853191 32.9762875112021)"
31688,8236,8238,230000,6,,,"SRID=4326;LINESTRING(-84.6191863875215 33.5187675423525,-84.5589696981142 33.5389167237281)"
10744,21435,21436,,,,,"SRID=4326;LINESTRING(-94.5208473827818 17.984592903608,-94.5016348443058 18.0121009649091)"
