name,rank,year,homeruns
Giancarlo Stanton,1,2017,57
Aaron Judge,2,2017,48
J.D. Martinez,3,2017,43
Khris Davis,4,2017,41
Cody Bellinger,5,2017,39
Justin Smoak,6,2017,38
Joey Gallo,6,2017,38
Edwin Encarnacion,8,2017,37
Mike Moustakas,8,2017,37
Logan Morrison,8,2017,37
Nelson Cruz,8,2017,37
