Year/Month/Day,Recreation Visits
01-07-2012,888335
01-08-2012,780286
01-09-2012,527610
01-10-2012,177069
01-11-2012,14059
01-12-2012,18472
01-01-2013,24699
01-02-2013,31053
01-03-2013,18613
01-04-2013,24606
01-05-2013,293250
01-06-2013,624429
01-07-2013,812212
01-08-2013,725136
01-09-2013,557925
01-10-2013,47560
01-11-2013,11169
01-12-2013,17378
01-01-2014,26778
01-02-2014,28233
01-03-2014,18778
01-04-2014,31356
01-05-2014,310039
01-06-2014,669642
01-07-2014,858856
01-08-2014,773357
01-09-2014,571764
01-10-2014,194804
01-11-2014,11537
01-12-2014,18340
01-01-2015,28091
01-02-2015,34343
01-03-2015,22989
01-04-2015,46600
01-05-2015,386064
01-06-2015,780768
01-07-2015,980702
01-08-2015,854408
01-09-2015,680213
01-10-2015,252013
01-11-2015,11049
01-12-2015,20470
01-01-2016,30621
01-02-2016,36327
01-03-2016,22924
01-04-2016,59253
01-05-2016,444630
01-06-2016,838316
01-07-2016,995917
01-08-2016,841036
01-09-2016,701754
01-10-2016,242004
01-11-2016,24710
01-12-2016,19685
